sku,name,slug,brand,category,category_slug,price,wholesale_price,cost_price,margin,stock,unit,format,content_info,image_url,has_image,featured,active
PRI80441,Regla Geopen Metálica 60 cm,regla-geopen-metalica-60-cm-pri80441,PRISA,Artículos de oficina,oficina,3191,2712.35,1707,1484,6,UN,,,/products/PRI80441.jpg,True,True,True
PRI87704,Tijera para Zurdos Multiuso Mundial N 661 Largo 8.5,tijera-para-zurdos-multiuso-mundial-n-661-largo-85-pri87704,PRISA,Artículos de oficina,oficina,4789,4070.65,4310,479,2,UN,,,/products/PRI87704.jpg,True,False,True
TOR11714,CLIPS TORRE 1 PUNTA TRIANGULAR 33 MM,clips-torre-1-punta-triangular-33-mm-tor11714,TORRE,Artículos de oficina,oficina,287,243.95,280,7,30,UN,,,/products/TOR11714.jpg,True,False,True
TAEHW268-1,HILO ELÁSTICO SILICONA  0.6MM  100 MTRS,hilo-elastico-silicona-06mm-100-mtrs-taehw268-1,SIN MARCA,Artículos de oficina,oficina,1893,1609.05,1606.7,286.3,5,UN,,,/products/TAEHW268-1.jpg,True,False,True
PNB102361,REPUESTO P/MAGIC CLIP 1201 13 MM METALICO 50 UN. CROMADO FULTONS,repuesto-pmagic-clip-1201-13-mm-metalico-50-un-cromado-fultons-pnb102361,FULTONS,Artículos de oficina,oficina,1478,1256.3,990,488,8,CAJA,,,/products/PNB102361.jpg,True,False,True
PRI74409,Cinta de Embalaje Offione 48 X 100 M,cinta-de-embalaje-offione-48-x-100-m-pri74409,PRISA,Artículos de oficina,oficina,737,626.45,788,-51,10,UN,48X100,,/products/PRI74409.jpg,True,False,True
PRI29281,Tijera Torini 6.0 Mango Plástico 15.24 cm,tijera-torini-60-mango-plastico-1524-cm-pri29281,PRISA,Artículos de oficina,oficina,699,594.15,484,215,16,UN,,,/products/PRI29281.jpg,True,False,True
PNB517772,PEGAMENTO EN BARRA 21 GRS,pegamento-en-barra-21-grs-pnb517772,FULTONS,Artículos de oficina,oficina,411,349.35,299,112,24,UN,,21GRS,/products/PNB517772.jpg,True,False,True
PRI78352,CLIPS MAGICOS 50 UN. ADIX METALICOS 6.4MM,clips-magicos-50-un-adix-metalicos-64mm-pri78352,PRISA,Artículos de oficina,oficina,1680,1428.0,1344,336,5,CAJA,,,,False,False,True
PRI10914,Tijera Isofit 7,tijera-isofit-7-pri10914,ISOFIT,Artículos de oficina,oficina,1032,877.2,728,304,9,UN,,,/products/PRI10914.jpg,True,False,True
ADITEE3000133,CINTA MASKING TAPE,cinta-masking-tape-aditee3000133,SELLOFFICE,Artículos de oficina,oficina,1580,1343.0,1160.8,419.2,5,UN,,,/products/ADITEE3000133.jpg,True,False,True
PNB542749,PORTA CLIPS MAGNÉTICO DOBLE TRACOL SURT,porta-clips-magnetico-doble-tracol-surt-pnb542749,FULTONS,Artículos de oficina,oficina,1081,918.85,919,162,6,UN,,,/products/PNB542749.jpg,True,False,True
PRI29264,PERFORADORA 20 HOJAS METÁLICA,perforadora-20-hojas-metalica-pri29264,PRISA,Artículos de oficina,oficina,1989,1690.65,1728,261,3,UN,,,/products/PRI29264.jpg,True,False,True
DIM554893,CINTA DOBLE CONTACTO 25 MM X 50 MT,cinta-doble-contacto-25-mm-x-50-mt-dim554893,DIMERC,Artículos de oficina,oficina,3073,2612.05,2529,544,2,UN,,,/products/DIM554893.jpg,True,True,True
PRI45412,Cinta Embalaje Ofixpres Transparente 48 mm x 40 m,cinta-embalaje-ofixpres-transparente-48-mm-x-40-m-pri45412,PRISA,Artículos de oficina,oficina,259,220.15,207,52,24,UN,,,/products/PRI45412.jpg,True,False,True
PRI25338,Doble Clips Acco 51 mm Caja de 12 Unidades,doble-clips-acco-51-mm-caja-de-12-unidades-pri25338,PRISA,Artículos de oficina,oficina,214,181.9,145.8,68.2,33,CAJA,,,/products/PRI25338.jpg,True,False,True
ADIACRT120002,"CORCHETERA DS-45 METALICA, NEGRO,30HJS, KANGARO",corchetera-ds-45-metalica-negro30hjs-kangaro-adiacrt120002,SELLOFFICE,Artículos de oficina,oficina,3216,2733.6,2297,919,2,UN,,,/products/ADIACRT120002.jpg,True,True,True
JMIREGLBEI004,REGLA PLASTICA TRANSP.30 CM. BISELADA (50-250-500),regla-plastica-transp30-cm-biselada-50-250-500-jmireglbei004,BEIFA,Artículos de oficina,oficina,213,181.05,131,82,35,UN,,,/products/JMIREGLBEI004.jpg,True,False,True
PRI89055,CINTA EMBALAJE 48 X 30 MT TRANSP. SELLOCINTA,cinta-embalaje-48-x-30-mt-transp-sellocinta-pri89055,PRISA,Artículos de oficina,oficina,733,623.05,220,513,20,UN,48X30,,/products/PRI89055.jpg,True,True,True
DIM534332,TIJERA ESCOLAR PARA ZURDOS 13 CM,tijera-escolar-para-zurdos-13-cm-dim534332,DIMERC,Artículos de oficina,oficina,838,712.3,725,113,6,UN,,,/products/DIM534332.jpg,True,False,True
PNB542570,PERFORADORA GRANDE METAL P30 HJ NEGRO,perforadora-grande-metal-p30-hj-negro-pnb542570,FULTONS,Artículos de oficina,oficina,3405,2894.25,3990,-585,1,UN,,,/products/PNB542570.jpg,True,False,True
TOR11716,CLIPS TORRE 1 PUNTA REDONDA 33 MM 100 UNIDADES,clips-torre-1-punta-redonda-33-mm-100-unidades-tor11716,TORRE,Artículos de oficina,oficina,271,230.35,223,48,17,CAJA,,,/products/TOR11716.jpg,True,False,True
PRI83471,Corchetes Swingline Sf-13 1/2 Caja de 1000 Unidades,corchetes-swingline-sf-13-12-caja-de-1000-unidades-pri83471,PRISA,Artículos de oficina,oficina,764,649.4,1882,-1118,2,CAJA,,,/products/PRI83471.jpg,True,False,True
JMITIJEHOL005,TIJERA DE OFICINA MANGO SOFT 19 CM (12-144),tijera-de-oficina-mango-soft-19-cm-12-144-jmitijehol005,BEIFA,Artículos de oficina,oficina,769,653.65,743,26,5,UN,,,/products/JMITIJEHOL005.jpg,True,False,True
ADITCC0500125,"Cinta de Transferencia Térmica, Negra, 110mm x 74m, Cera, OUT C1/2",cinta-de-transferencia-termica-negra-110mm-x-74m-cera-out-c12-aditcc0500125,SELLOFFICE,Artículos de oficina,oficina,1253,1065.05,902,351,4,UN,,,,False,False,True
JMICORCHOL003,CORCHETE 26/6-1000 UNID. 11120005 (10-500),corchete-266-1000-unid-11120005-10-500-jmicorchol003,BEIFA,Artículos de oficina,oficina,179,152.15,146,33,24,UN,,,,False,False,True
PRI19659,GORRO DESECHABLE TIPO CLIP 100 UNI BLANCO BOLSA,gorro-desechable-tipo-clip-100-uni-blanco-bolsa-pri19659,PRISA,Artículos de oficina,oficina,2089,1775.65,1732,357,2,BOLSA,,,,False,False,True
PRI29255,Clip Metálico Torini 50 mm 100 Unidades,clip-metalico-torini-50-mm-100-unidades-pri29255,PRISA,Artículos de oficina,oficina,1112,945.2,651,461,5,CAJA,,,/products/PRI29255.jpg,True,False,True
PNB107212,CORCHETES ESTANDAR 26/6 1000 UN. CROMADO FULTONS,corchetes-estandar-266-1000-un-cromado-fultons-pnb107212,FULTONS,Artículos de oficina,oficina,179,152.15,149,30,20,CAJA,,,/products/PNB107212.jpg,True,False,True
PRI25328,Doble Clip Adix 15 mm Caja de 12 Unidades Doble Clip Adix 15 mm Caja de 12 Unidades,doble-clip-adix-15-mm-caja-de-12-unidades-doble-clip-adix-15-mm-caja-de-12-unida-pri25328,PRISA,Artículos de oficina,oficina,227,192.95,261,-34,11,CAJA,,,/products/PRI25328.jpg,True,False,True
PNB542748,PORTA CLIPS MAGNÉTICO DOBLE NEGRO Y TRANSP,porta-clips-magnetico-doble-negro-y-transp-pnb542748,FULTONS,Artículos de oficina,oficina,1081,918.85,919,162,2,UN,,,/products/PNB542748.jpg,True,False,True
PRI77350,Cinta Adhesiva 3M Doble Contacto 9945 18 Mm x 40 M,cinta-adhesiva-3m-doble-contacto-9945-18-mm-x-40-m-pri77350,PRISA,Artículos de oficina,oficina,2109,1792.65,1793,316,1,UN,,,/products/PRI77350.jpg,True,False,True
PNB287542,ADHESIVO SILICONA LIQUIDA 30 CC,adhesivo-silicona-liquida-30-cc-pnb287542,FULTONS,Artículos de oficina,oficina,530,450.5,259,271,6,UN,,30CC,/products/PNB287542.jpg,True,False,True
ADIADIC102002,"Dispensador 898-M, Mediano, Para cintas de 12 y 34, SELLOFICC",dispensador-898-m-mediano-para-cintas-de-12-y-34-selloficc-adiadic102002,SELLOFFICE,Artículos de oficina,oficina,2450,2082.5,1419,1031,1,UN,,,,False,True,True
JMICINTHON042,"CINTA DE ENMASCARAR SELLOCINTA MASKING GP, 24MM X 40M",cinta-de-enmascarar-sellocinta-masking-gp-24mm-x-40m-jmicinthon042,BEIFA,Artículos de oficina,oficina,1121,952.85,700,421,2,UN,,,/products/JMICINTHON042.jpg,True,False,True
ADITEE1500165,"USATAPE, 48MM X 40M, TRANSP. ARO SELLOCINTA",usatape-48mm-x-40m-transp-aro-sellocinta-aditee1500165,SELLOFFICE,Artículos de oficina,oficina,328,278.8,276.4,51.6,5,UN,,,,False,False,True
PNB401445,"CINTA DOBLE CONTACTO 18X13,7MT BLANCO",cinta-doble-contacto-18x137mt-blanco-pnb401445,FULTONS,Artículos de oficina,oficina,591,502.35,459,132,3,UN,18X13,,/products/PNB401445.jpg,True,False,True
PRI75843,Cinta Adhesiva 3M Doble Contacto 9945 12 mm X 40 M,cinta-adhesiva-3m-doble-contacto-9945-12-mm-x-40-m-pri75843,PRISA,Artículos de oficina,oficina,1484,1261.4,1261,223,1,UN,,,/products/PRI75843.jpg,True,False,True
ADIACTT100001,"CAJA CORCHETES N 266, 5000 UNIDADES, SELLOFFICE",caja-corchetes-n-266-5000-unidades-selloffice-adiactt100001,SELLOFFICE,Artículos de oficina,oficina,176,149.6,142.8,33.2,7,CAJA,,,,False,False,True
ADIACLP100001,"CAJAS DE CLIPS 28 MM., 100 UNIDADES, SELLOFFICE",cajas-de-clips-28-mm-100-unidades-selloffice-adiaclp100001,SELLOFFICE,Artículos de oficina,oficina,271,230.35,195,76,5,CAJA,,,,False,False,True
TOR30533,CINTA CORRECTORA MINI COLORES TORRE,cinta-correctora-mini-colores-torre-tor30533,TORRE,Artículos de oficina,oficina,995,845.75,525,470,1,UN,,,/products/TOR30533.jpg,True,False,True
ADIACLP100002,CLIPS TORRE 1 PUNTA REDONDA 33 MM 100 UNIDADES,clips-torre-1-punta-redonda-33-mm-100-unidades-adiaclp100002,TORRE,Artículos de oficina,oficina,234,198.9,244,-10,2,CAJA,,,/products/ADIACLP100002.jpg,True,False,True
PNB407606,CINTA ADHESIVA ECONOMICA 18MMX30MT FULTONS,cinta-adhesiva-economica-18mmx30mt-fultons-pnb407606,FULTONS,Artículos de oficina,oficina,307,260.95,149,158,3,UN,,,/products/PNB407606.jpg,True,False,True
PNB107127,CLIP 50 MM REDONDO CAJA 50 UNIDADES,clip-50-mm-redondo-caja-50-unidades-pnb107127,FULTONS,Artículos de oficina,oficina,12,10.2,7.2,4.8,10,CAJA,,,/products/PNB107127.jpg,True,False,True
PRI83854,CORCHETES 53 A6 DE 1800 NOVUS,corchetes-53-a6-de-1800-novus-pri83854,PRISA,Artículos de oficina,oficina,0,0,0,0,3602,UN,,,,False,True,True
ADIZDI1200274,"PEGAMENTO EN BARRA 36GRS, MONAMI",pegamento-en-barra-36grs-monami-adizdi1200274,MONAMI,Artículos de oficina,oficina,671,570.35,0,0,3,UN,,36GRS,/products/ADIZDI1200274.jpg,True,False,True
JMICORCBEI002,CORCHETE 2310 1000 UNIDADES,corchete-2310-1000-unidades-jmicorcbei002,BEIFA,Artículos de oficina,oficina,1432,1217.2,0,0,1,CAJA,,,,False,False,True
JMICORCBEI003,CORCHETE 23/13 1000 UNID.(10-300),corchete-2313-1000-unid10-300-jmicorcbei003,BEIFA,Artículos de oficina,oficina,1540,1309.0,0,0,2,UN,,,,False,False,True
LIB31003-4,PISTOLA DE SILICONA PROARTE 12MM,pistola-de-silicona-proarte-12mm-lib31003-4,SIN MARCA,Artículos de oficina,oficina,4716,4008.6,0,0,6,UN,,,/products/LIB31003-4.jpg,True,False,True
PNB101096,DOBLE CLIP NEGRO 25 MM. METALICO 12 UN. FULTONS,doble-clip-negro-25-mm-metalico-12-un-fultons-pnb101096,FULTONS,Artículos de oficina,oficina,416,353.6,0,0,59,CAJA,,,,False,False,True
TOR25491,SILICONA LIQ ARTEL 250 ML,silicona-liq-artel-250-ml-tor25491,ARTEL,Artículos de oficina,oficina,2089,1775.65,0,0,8,UN,,250ML,/products/TOR25491.jpg,True,False,True
TOR35336,PISTOLA SILICONA 20W TORRE,pistola-silicona-20w-torre-tor35336,TORRE,Artículos de oficina,oficina,4458,3789.3,0,0,9,UN,,,/products/TOR35336.jpg,True,False,True
FOPJS-PREP40X60,Bolsa en rollo prepicada 40x60 (kg),bolsa-en-rollo-prepicada-40x60-kg-fopjs-prep40x60,FOODPACK,Varios,varios,19934,16943.9,11664,8270,301,ROLLO,40X60,,/products/FOPJS-PREP40X60.jpg,True,True,True
FOPJS-PREP20X30,Bolsa en rollo prepicada 20x30,bolsa-en-rollo-prepicada-20x30-fopjs-prep20x30,FOODPACK,Varios,varios,19934,16943.9,14175,5759,182,ROLLO,20X30,,/products/FOPJS-PREP20X30.jpg,True,True,True
FOPBX-105161,Env. Rect. Bisagra PET 170ml Mod.161 (1x1000),env-rect-bisagra-pet-170ml-mod161-1x1000-fopbx-105161,FOODPACK,Varios,varios,57,48.45,42.5,14.5,26000,UN,1X1000,170ML,/products/FOPBX-105161.jpg,True,True,True
FOPIY-FLFC06,Tapa plana 6-8oz PET (5020),tapa-plana-6-8oz-pet-5020-fopiy-flfc06,FOODPACK,Varios,varios,32,27.2,23.5,8.5,35000,UN,,8OZ,/products/FOPIY-FLFC06.jpg,True,True,True
FOPD402101NW,Porta sándwich Mediano C-1 (500 unidades),porta-sandwich-mediano-c-1-500-unidades-fopd402101nw,FOODPACK,Varios,varios,74,62.9,55,19,13000,CAJA,,,/products/FOPD402101NW.jpg,True,True,True
AKITBK571,Tapa PET Bowl Kraft 500 / 750 / 1.000 cc,tapa-pet-bowl-kraft-500-750-1000-cc-akitbk571,SIN MARCA,Varios,varios,50,42.5,38,12,18000,UN,,1.000CC,,False,True,True
SOD5372909,Refrigerador Side by Side No Frost 504 Litros Plateado HC-660W,refrigerador-side-by-side-no-frost-504-litros-plateado-hc-660w-sod5372909,SODIMAC,Varios,varios,800000,680000.0,638647,161353,1,UN,,,,False,True,True
PRI45185,Lápíz Pasta Isofit 1.6 mm Punta Gruesa Azul,lapiz-pasta-isofit-16-mm-punta-gruesa-azul-pri45185,ISOFIT,Varios,varios,7977,6780.45,6332,1645,100,UN,,,/products/PRI45185.jpg,True,True,True
AKIBK1000,Bowl Kraft 1.000 cc,bowl-kraft-1000-cc-akibk1000,SIN MARCA,Varios,varios,80,68.0,62,18,9300,UN,,1.000CC,,False,True,True
AKITPPET150NBR,Tapa PET Bowl Kraft 500 / 750 / 1.000 cc,tapa-pet-bowl-kraft-500-750-1000-cc-akitppet150nbr,SIN MARCA,Varios,varios,64,54.4,36,28,14100,UN,,1.000CC,,False,True,True
AKIBK700,Bowl Kraft 750 cc,bowl-kraft-750-cc-akibk700,SIN MARCA,Varios,varios,105,89.25,51,54,9900,UN,,750CC,,False,True,True
AKIBB1000,Bowl Kraft 1.000 cc,bowl-kraft-1000-cc-akibb1000,SIN MARCA,Varios,varios,100,85.0,62,38,8100,UN,,1.000CC,,False,True,True
FOPST-SE3108,SERVILLETA DE COCTEL (12X300),servilleta-de-coctel-12x300-fopst-se3108,FOODPACK,Varios,varios,19934,16943.9,12344,7590,40,UN,12X300,,/products/FOPST-SE3108.jpg,True,True,True
FOPDCO-402001,Sandwich Pequeño B-1 (1X500),sandwich-pequeno-b-1-1x500-fopdco-402001,FOODPACK,Varios,varios,74,62.9,49.4,24.6,9000,UN,1X500,,/products/FOPDCO-402001.jpg,True,True,True
PRI17810,Caja De Archivo Prisa Doble Standard 26 Cm 23 Cm 37.5 Cm,caja-de-archivo-prisa-doble-standard-26-cm-23-cm-375-cm-pri17810,PRISA,Varios,varios,1096,931.6,877,219,500,UN,,,/products/PRI17810.jpg,True,False,True
PRI11738CM,BARRA PROTEINA WILD PROTEIN 30GR MUNCHY CHOC.MANI,barra-proteina-wild-protein-30gr-munchy-chocmani-pri11738cm,PRISA,Varios,varios,889,755.65,1078,-189,370,UN,,30GR,,False,False,True
TOR34958,ARCILLA 1KG TORRE,arcilla-1kg-torre-tor34958,TORRE,Varios,varios,1223,1039.55,1030,193,372,UN,,1KG,/products/TOR34958.jpg,True,False,True
PRI85370,Sobre Teknofas Oficio 24x34 Blanco,sobre-teknofas-oficio-24x34-blanco-pri85370,PRISA,Varios,varios,3518,2990.3,2893,625,131,UN,24X34,,/products/PRI85370.jpg,True,True,True
PRIW1510A,Tóner HP 151A Negro Original (W1510A),toner-hp-151a-negro-original-w1510a-priw1510a,PRISA,Varios,varios,51321,43622.85,123076,-71755,3,UN,,,,False,False,True
DPSESTUA034,ESTUCHE 161 PET 1X1000,estuche-161-pet-1x1000-dpsestua034,DPS,Varios,varios,57,48.45,49,8,7000,UN,1X1000,,,False,True,True
PRI33264CL,ANTIPARRA PARA PRODUCTOS QUIMICOS K2 CLARA STEELPR,antiparra-para-productos-quimicos-k2-clara-steelpr-pri33264cl,PRISA,Varios,varios,7944,6752.4,6305,1639,50,UN,,,,False,True,True
PRI12396HU,Mica Encuadernar Diazol Oficio Lisa Humo 100 Unidades,mica-encuadernar-diazol-oficio-lisa-humo-100-unidades-pri12396hu,DIAZOL,Varios,varios,10889,9255.65,9256,1633,30,CAJA,,,,False,True,True
PRI14038,Etiqueta Ink/Láser Autoadhesiva Adetec 14 Por Hoja 101x34 mm 25 Unidades,etiqueta-inklaser-autoadhesiva-adetec-14-por-hoja-101x34-mm-25-unidades-pri14038,PRISA,Varios,varios,3300,2805.0,2794,506,80,CAJA,101X34,,,False,True,True
TOR35266,BL. SET ESCRITURA UNIVERSITARIO 3 BOL A/N/R  CORRECTOR TORRE,bl-set-escritura-universitario-3-bol-anr-corrector-torre-tor35266,TORRE,Varios,varios,1461,1241.85,1120,341,192,UN,,,/products/TOR35266.jpg,True,False,True
SOD9100067,MAQUINA DE HIELO AUTOMATICA,maquina-de-hielo-automatica-sod9100067,SODIMAC,Varios,varios,123000,104550.0,211757.1,-88757.1,1,UN,,,/products/SOD9100067.jpg,True,False,True
PRI45905,CALCULADORA BÁSICA TORRE 12 DÍGITOS CS-332 UNIDAD REGIÓN VIII,calculadora-basica-torre-12-digitos-cs-332-unidad-region-viii-pri45905,TORRE,Varios,varios,5064,4304.4,4201,863,50,UN,,,/products/PRI45905.jpg,True,True,True
PNB107197,LUPA PLASTICA DIAMETRO 80MM,lupa-plastica-diametro-80mm-pnb107197,FULTONS,Varios,varios,1860,1581.0,1190,670,168,UN,,,,False,True,True
ACB27831,Candado Nanosaver con Combinación,candado-nanosaver-con-combinacion-acb27831,ACCO BRANDS,Varios,varios,23000,19550.0,19796,3204,10,UN,,,,False,True,True
FOPTG-CG6510,Copa Gelatera 200cc (50x32),copa-gelatera-200cc-50x32-foptg-cg6510,FOODPACK,Varios,varios,40,34.0,20.3,19.7,9600,UN,50X32,200CC,/products/FOPTG-CG6510.jpg,True,True,True
PRI24186,"DURACELL AA4 RECARGABLE 1,5V",duracell-aa4-recargable-15v-pri24186,PRISA,Varios,varios,4856,4127.6,4284.5,571.5,45,UN,,,,False,True,True
AKITK-571PET,TAPA BOWL KRAFT 750 ML,tapa-bowl-kraft-750-ml-akitk-571pet,SIN MARCA,Varios,varios,64,54.4,36,28,5100,UN,,750ML,/products/AKITK-571PET.jpg,True,True,True
FOPTG-TCG10,Tapa p/ Copa Gelatera 200cc (100x16),tapa-p-copa-gelatera-200cc-100x16-foptg-tcg10,FOODPACK,Varios,varios,26,22.1,17.8,8.2,9600,UN,100X16,200CC,/products/FOPTG-TCG10.jpg,True,True,True
ART10950110,EST. TEMP GEORGI 12 COLORES 15 ML,est-temp-georgi-12-colores-15-ml-art10950110,SIN MARCA,Varios,varios,1084,921.4,921,163,174,UN,,15ML,/products/ART10950110.jpg,True,False,True
PRI74411,Elástico Offione Blanco 60x1.6 Mm,elastico-offione-blanco-60x16-mm-pri74411,PRISA,Varios,varios,4473,3802.05,3334,1139,44,UN,60X1,,/products/PRI74411.jpg,True,True,True
DIMZ419940,OREGANO ENTERO 250 GR ALMIFRUT,oregano-entero-250-gr-almifrut-dimz419940,DIMERC,Varios,varios,9484,8061.4,7112,2372,20,UN,,250GR,/products/DIMZ419940.jpg,True,True,True
DPSCUDEN027,CUCHILLO PLASTICO DESECHABLE,cuchillo-plastico-desechable-dpscuden027,DPS,Varios,varios,8,6.8,6.5,1.5,20000,UN,,,/products/DPSCUDEN027.jpg,True,True,True
AKINBBK700,Bowl Kraft 750 cc,bowl-kraft-750-cc-akinbbk700,SIN MARCA,Varios,varios,105,89.25,58,47,2100,UN,,750CC,,False,True,True
ADITEE1500185,"USATAPE, 48MM X 100, TRANSPARENTE",usatape-48mm-x-100-transparente-aditee1500185,SELLOFFICE,Varios,varios,737,626.45,565,172,209,UN,,,/products/ADITEE1500185.jpg,True,False,True
FOPIY-TPCS55,"TAPA PARA 3, 4 Y 5.5 OZ CRISTAL (1X2500)",tapa-para-3-4-y-55-oz-cristal-1x2500-fopiy-tpcs55,FOODPACK,Varios,varios,9,7.65,7.5,1.5,15000,UN,1X2500,5.5OZ,/products/FOPIY-TPCS55.jpg,True,True,True
PRI10436,Etiqueta Ink/Láser Autoadhesiva Adetec 30 Por Hoja 66X25 mm 25 Unidades,etiqueta-inklaser-autoadhesiva-adetec-30-por-hoja-66x25-mm-25-unidades-pri10436,PRISA,Varios,varios,3320,2822.0,2794,526,40,CAJA,66X25,,,False,True,True
JMIBANDHOL001,BANDERAS 5 COLORES125 UNDS. 25010208(96-1152),banderas-5-colores125-unds-2501020896-1152-jmibandhol001,BEIFA,Varios,varios,1421,1207.85,293,1128,328,UN,,,/products/JMIBANDHOL001.jpg,True,True,True
PRI18721,"DURACELL AAA4 RECARGABLE 1,2V",duracell-aaa4-recargable-12v-pri18721,PRISA,Varios,varios,4860,4131.0,4284.5,575.5,20,UN,,,,False,True,True
PRI21681,Lavalozas Quix Concentrado Profesional Limón 5 Litros,lavalozas-quix-concentrado-profesional-limon-5-litros-pri21681,PRISA,Varios,varios,12601,10710.85,10711,1890,8,UN,,,/products/PRI21681.jpg,True,True,True
PNB393408,BANDERITAS ADHESIVAS 5 UN.100 HJS. COL/SURTIDO LAVORO,banderitas-adhesivas-5-un100-hjs-colsurtido-lavoro-pnb393408,FULTONS,Varios,varios,3794,3224.9,789,3005,108,CAJA,,,/products/PNB393408.jpg,True,True,True
DPSBOCAN030,BOLSA CAMISETA BLANCA 28X35 (10X100),bolsa-camiseta-blanca-28x35-10x100-dpsbocan030,DPS,Varios,varios,7,5.95,21.2,-14.2,4000,BOLSA,10X100,,/products/DPSBOCAN030.jpg,True,True,True
FOPD-4JL,TAPA Trans/Respira (1x1000),tapa-transrespira-1x1000-fopd-4jl,FOODPACK,Varios,varios,22,18.7,10.5,11.5,8000,UN,1X1000,,/products/FOPD-4JL.jpg,True,True,True
AKISAC050,Sacos Blanco 050 de 8 x 23 x 4.7 cms.,sacos-blanco-050-de-8-x-23-x-47-cms-akisac050,SIN MARCA,Varios,varios,10,8.5,8,2,9000,UN,8X23,,/products/AKISAC050.jpg,True,True,True
ACB34136,CJA POUCHE BARRILITO OFI4 (100mic) 229X368MM 100U,cja-pouche-barrilito-ofi4-100mic-229x368mm-100u-acb34136,ACCO BRANDS,Varios,varios,9984,8486.4,6118,3866,11,UN,229X368,,,False,True,True
PRI26300,Cloro Gel Clorox Original 900 ml,cloro-gel-clorox-original-900-ml-pri26300,PRISA,Varios,varios,1571,1335.35,1335,236,50,UN,,900ML,/products/PRI26300.jpg,True,False,True
PRI29745,Alargador Eléctrico Macrotel 3 m 6 Posiciones Switch Negro,alargador-electrico-macrotel-3-m-6-posiciones-switch-negro-pri29745,PRISA,Varios,varios,5135,4364.75,3646,1489,18,UN,,,/products/PRI29745.jpg,True,True,True
ACB34085,"Plastificadora Fusion 1100L, A4.",plastificadora-fusion-1100l-a4-acb34085,ACCO BRANDS,Varios,varios,35282,29989.7,21035,14247,3,UN,,1100L,,False,True,True
PRI83406,Lámina Termolaminada Barrilito Carta 5 125 Mic 229x292 mm 100 Unidades,lamina-termolaminada-barrilito-carta-5-125-mic-229x292-mm-100-unidades-pri83406,PRISA,Varios,varios,10244,8707.4,6829,3415,9,CAJA,229X292,,/products/PRI83406.jpg,True,True,True
BLESELLVAC30X40,Bolsas Al Vacio Transparentes 30*40,bolsas-al-vacio-transparentes-3040-blesellvac30x40,SIN MARCA,Varios,varios,308,261.8,121.8,186.2,500,BOLSA,,,,False,False,True
DVO1308263,POUCHES 229X368MM 125MIC 100U,pouches-229x368mm-125mic-100u-dvo1308263,SIN MARCA,Varios,varios,9390,7981.5,8451,939,7,UN,229X368,,,False,True,True
PRI82766,SAL LOBOS 1KG,sal-lobos-1kg-pri82766,PRISA,Varios,varios,629,534.65,481,148,120,UN,,1KG,,False,False,True
JAM7202002,COLA FRIA 1KG FULTONS,cola-fria-1kg-fultons-jam7202002,FULTONS,Varios,varios,2781,2363.85,2190,591,26,UN,,1KG,/products/JAM7202002.jpg,True,True,True
PRI28835,Tóner Brother TN-1060 Negro,toner-brother-tn-1060-negro-pri28835,PRISA,Varios,varios,34020,28917.0,27000,7020,2,UN,,,,False,True,True
PRI11074,Caja De Archivo Memphis Standard,caja-de-archivo-memphis-standard-pri11074,PRISA,Varios,varios,340,289.0,1057,-717,50,UN,,,/products/PRI11074.jpg,True,False,True
PRI16145,Cloro Tradicional Clorinda 1Lt.,cloro-tradicional-clorinda-1lt-pri16145,PRISA,Varios,varios,1326,1127.1,1053,273,50,UN,,,/products/PRI16145.jpg,True,False,True
FOPIY-WST8254W,"Bombilla blanca 8mm x 25,4 - 3capas Envuelta  (8x500)",bombilla-blanca-8mm-x-254-3capas-envuelta-8x500-fopiy-wst8254w,FOODPACK,Varios,varios,8,6.8,11.8,-3.8,4000,UN,8X500,,/products/FOPIY-WST8254W.jpg,True,True,True
ADIACCR124005,"Cuchillo Cartonero SK-2500, Grande, Profesional, Selloffice",cuchillo-cartonero-sk-2500-grande-profesional-selloffice-adiaccr124005,SELLOFFICE,Varios,varios,3219,2736.15,1926,1293,24,UN,,,/products/ADIACCR124005.jpg,True,True,True
DPSALUMN019,CONT. ALUM C18 CTAPA BOPS 30X20,cont-alum-c18-ctapa-bops-30x20-dpsalumn019,DPS,Varios,varios,81,68.85,75,6,600,UN,30X20,,,False,True,True
PRI82870,Libreta de Correspondencia Orgarex Oficio 100 Hojas,libreta-de-correspondencia-orgarex-oficio-100-hojas-pri82870,PRISA,Varios,varios,6200,5270.0,2980,3220,15,UN,,,,False,True,True
DPSCUDEMA005,CUCHILLO MADERA (ASL),cuchillo-madera-asl-dpscudema005,DPS,Varios,varios,16,13.6,10,6,4000,UN,,,/products/DPSCUDEMA005.jpg,True,True,True
DIPTI-HI-DAM-HS-0002,Higienico Damax 500metros  X 4,higienico-damax-500metros-x-4-dipti-hi-dam-hs-0002,SIN MARCA,Varios,varios,2941,2499.85,1609,1332,24,UN,,,/products/DIPTI-HI-DAM-HS-0002.jpg,True,True,True
FOPJS-PREP25X35,Bolsa en rollo prepicada 25X35,bolsa-en-rollo-prepicada-25x35-fopjs-prep25x35,FOODPACK,Varios,varios,3240,2754.0,2592,648,14,ROLLO,25X35,,/products/FOPJS-PREP25X35.jpg,True,True,True
